"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","833","Should not login with invalid user name","","Thu Aug 21 09:34:17 UTC 2025","passed","Thu Aug 21 09:34:18 UTC 2025","","Login with invalid data","",""
"","1848","Should not login with invalid user name","","Thu Aug 21 09:34:40 UTC 2025","passed","Thu Aug 21 09:34:42 UTC 2025","","Login with invalid data","",""
"","6448","Should login with valid credentials","","Thu Aug 21 09:34:34 UTC 2025","failed","Thu Aug 21 09:34:41 UTC 2025","","Login","",""
"","990","Valid checkout","","Thu Aug 21 09:34:54 UTC 2025","failed","Thu Aug 21 09:34:55 UTC 2025","","Checkout","",""
"","14291","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Thu Aug 21 09:34:26 UTC 2025","passed","Thu Aug 21 09:34:40 UTC 2025","","Footer","",""
"","333","Checkout without products","","Thu Aug 21 09:34:28 UTC 2025","passed","Thu Aug 21 09:34:28 UTC 2025","","Checkout","",""
"","2211","Add any product to cart, logout, login and check that product is still in the cart","","Thu Aug 21 09:34:44 UTC 2025","passed","Thu Aug 21 09:34:46 UTC 2025","","Cart","",""
"","1061","Sorting products by price from high to low","","Thu Aug 21 09:34:48 UTC 2025","passed","Thu Aug 21 09:34:50 UTC 2025","","Products","",""
"","515","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Thu Aug 21 09:34:53 UTC 2025","failed","Thu Aug 21 09:34:53 UTC 2025","","Footer","",""
"","1015","Sorting products by Name (A to Z)","","Thu Aug 21 09:34:50 UTC 2025","passed","Thu Aug 21 09:34:51 UTC 2025","","Products","",""
"","1518","Add any product to cart, logout, login and check that product is still in the cart","","Thu Aug 21 09:34:17 UTC 2025","passed","Thu Aug 21 09:34:18 UTC 2025","","Cart","",""
"","2168","Should not login with invalid password","","Thu Aug 21 09:34:15 UTC 2025","passed","Thu Aug 21 09:34:17 UTC 2025","","Login with invalid data","",""
"","2893","Sorting products by price from low to high","","Thu Aug 21 09:34:23 UTC 2025","passed","Thu Aug 21 09:34:25 UTC 2025","","Products","",""
"","304","Checkout without products","","Thu Aug 21 09:34:54 UTC 2025","passed","Thu Aug 21 09:34:54 UTC 2025","","Checkout","",""
"","729","Login, click on burger-button and logout","","Thu Aug 21 09:34:39 UTC 2025","passed","Thu Aug 21 09:34:40 UTC 2025","","Logout","",""
"","1349","Sorting products by Name (Z to A)","","Thu Aug 21 09:34:51 UTC 2025","passed","Thu Aug 21 09:34:52 UTC 2025","","Products","",""
"","2892","Valid checkout","","Thu Aug 21 09:34:28 UTC 2025","passed","Thu Aug 21 09:34:30 UTC 2025","","Checkout","",""
"","924","Sorting products by Name (A to Z)","","Thu Aug 21 09:34:27 UTC 2025","passed","Thu Aug 21 09:34:28 UTC 2025","","Products","",""
"","5162","Should not login with invalid password","","Thu Aug 21 09:34:35 UTC 2025","passed","Thu Aug 21 09:34:40 UTC 2025","","Login with invalid data","",""
"","2511","Should login with valid credentials","","Thu Aug 21 09:34:15 UTC 2025","passed","Thu Aug 21 09:34:17 UTC 2025","","Login","",""
"","9","Alternative sorting test where one method is used","","Thu Aug 21 09:34:52 UTC 2025","skipped","Thu Aug 21 09:34:52 UTC 2025","","Products","",""
"","3071","Sorting products by price from low to high","","Thu Aug 21 09:34:45 UTC 2025","passed","Thu Aug 21 09:34:48 UTC 2025","","Products","",""
"","1815","Sorting products by price from high to low","","Thu Aug 21 09:34:25 UTC 2025","passed","Thu Aug 21 09:34:27 UTC 2025","","Products","",""
"","485","Login, click on burger-button and logout","","Thu Aug 21 09:34:17 UTC 2025","passed","Thu Aug 21 09:34:17 UTC 2025","","Logout","",""
"","764","Sorting products by Name (Z to A)","","Thu Aug 21 09:34:28 UTC 2025","passed","Thu Aug 21 09:34:29 UTC 2025","","Products","",""
"","0","Alternative sorting test where one method is used","","Thu Aug 21 09:34:29 UTC 2025","skipped","Thu Aug 21 09:34:29 UTC 2025","","Products","",""
