"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7361","Should login with valid credentials","","Fri Aug 15 09:38:10 UTC 2025","failed","Fri Aug 15 09:38:17 UTC 2025","","Login","",""
"","428","Login, click on burger-button and logout","","Fri Aug 15 09:38:01 UTC 2025","passed","Fri Aug 15 09:38:01 UTC 2025","","Logout","",""
"","1721","Add any product to cart, logout, login and check that product is still in the cart","","Fri Aug 15 09:38:01 UTC 2025","passed","Fri Aug 15 09:38:03 UTC 2025","","Cart","",""
"","1188","Should not login with invalid user name","","Fri Aug 15 09:38:17 UTC 2025","passed","Fri Aug 15 09:38:18 UTC 2025","","Login with invalid data","",""
"","485","Sorting products by Name (Z to A)","","Fri Aug 15 09:38:15 UTC 2025","passed","Fri Aug 15 09:38:15 UTC 2025","","Products","",""
"","579","Checkout without products","","Fri Aug 15 09:38:15 UTC 2025","passed","Fri Aug 15 09:38:16 UTC 2025","","Checkout","",""
"","496","Sorting products by price from low to high","","Fri Aug 15 09:38:34 UTC 2025","passed","Fri Aug 15 09:38:35 UTC 2025","","Products","",""
"","512","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Fri Aug 15 09:38:34 UTC 2025","failed","Fri Aug 15 09:38:34 UTC 2025","","Footer","",""
"","242","Sorting products by Name (Z to A)","","Fri Aug 15 09:38:35 UTC 2025","passed","Fri Aug 15 09:38:36 UTC 2025","","Products","",""
"","13036","Valid checkout","","Fri Aug 15 09:38:14 UTC 2025","failed","Fri Aug 15 09:38:27 UTC 2025","","Checkout","",""
"","178","Checkout without products","","Fri Aug 15 09:38:37 UTC 2025","passed","Fri Aug 15 09:38:37 UTC 2025","","Checkout","",""
"","528","Sorting products by Name (A to Z)","","Fri Aug 15 09:38:14 UTC 2025","passed","Fri Aug 15 09:38:15 UTC 2025","","Products","",""
"","6581","Should not login with invalid password","","Fri Aug 15 09:38:10 UTC 2025","passed","Fri Aug 15 09:38:17 UTC 2025","","Login with invalid data","",""
"","978","Should not login with invalid user name","","Fri Aug 15 09:38:01 UTC 2025","passed","Fri Aug 15 09:38:02 UTC 2025","","Login with invalid data","",""
"","1459","Add any product to cart, logout, login and check that product is still in the cart","","Fri Aug 15 09:38:30 UTC 2025","passed","Fri Aug 15 09:38:31 UTC 2025","","Cart","",""
"","2528","Should login with valid credentials","","Fri Aug 15 09:37:59 UTC 2025","passed","Fri Aug 15 09:38:01 UTC 2025","","Login","",""
"","11989","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Fri Aug 15 09:38:13 UTC 2025","passed","Fri Aug 15 09:38:25 UTC 2025","","Footer","",""
"","10992","Valid checkout","","Fri Aug 15 09:38:35 UTC 2025","failed","Fri Aug 15 09:38:46 UTC 2025","","Checkout","",""
"","265","Sorting products by price from high to low","","Fri Aug 15 09:38:35 UTC 2025","passed","Fri Aug 15 09:38:35 UTC 2025","","Products","",""
"","553","Login, click on burger-button and logout","","Fri Aug 15 09:38:17 UTC 2025","passed","Fri Aug 15 09:38:17 UTC 2025","","Logout","",""
"","618","Sorting products by price from high to low","","Fri Aug 15 09:38:14 UTC 2025","passed","Fri Aug 15 09:38:14 UTC 2025","","Products","",""
"","903","Sorting products by price from low to high","","Fri Aug 15 09:38:13 UTC 2025","passed","Fri Aug 15 09:38:14 UTC 2025","","Products","",""
"","2256","Should not login with invalid password","","Fri Aug 15 09:37:59 UTC 2025","passed","Fri Aug 15 09:38:01 UTC 2025","","Login with invalid data","",""
"","371","Sorting products by Name (A to Z)","","Fri Aug 15 09:38:35 UTC 2025","passed","Fri Aug 15 09:38:35 UTC 2025","","Products","",""
