"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","314","Sorting products by Name (Z to A)","","Sat Aug 16 17:19:07 UTC 2025","passed","Sat Aug 16 17:19:07 UTC 2025","","Products","",""
"","362","Checkout without products","","Sat Aug 16 17:18:48 UTC 2025","passed","Sat Aug 16 17:18:48 UTC 2025","","Checkout","",""
"","550","Sorting products by price from low to high","","Sat Aug 16 17:19:05 UTC 2025","passed","Sat Aug 16 17:19:06 UTC 2025","","Products","",""
"","334","Sorting products by Name (Z to A)","","Sat Aug 16 17:18:47 UTC 2025","passed","Sat Aug 16 17:18:47 UTC 2025","","Products","",""
"","645","Login, click on burger-button and logout","","Sat Aug 16 17:18:31 UTC 2025","passed","Sat Aug 16 17:18:32 UTC 2025","","Logout","",""
"","869","Login, click on burger-button and logout","","Sat Aug 16 17:18:46 UTC 2025","passed","Sat Aug 16 17:18:47 UTC 2025","","Logout","",""
"","7209","Should not login with invalid password","","Sat Aug 16 17:18:39 UTC 2025","passed","Sat Aug 16 17:18:46 UTC 2025","","Login with invalid data","",""
"","1795","Add any product to cart, logout, login and check that product is still in the cart","","Sat Aug 16 17:19:02 UTC 2025","passed","Sat Aug 16 17:19:04 UTC 2025","","Cart","",""
"","253","Checkout without products","","Sat Aug 16 17:19:06 UTC 2025","passed","Sat Aug 16 17:19:07 UTC 2025","","Checkout","",""
"","408","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Sat Aug 16 17:19:04 UTC 2025","failed","Sat Aug 16 17:19:04 UTC 2025","","Footer","",""
"","318","Sorting products by Name (A to Z)","","Sat Aug 16 17:19:06 UTC 2025","passed","Sat Aug 16 17:19:07 UTC 2025","","Products","",""
"","8532","Should login with valid credentials","","Sat Aug 16 17:18:38 UTC 2025","failed","Sat Aug 16 17:18:47 UTC 2025","","Login","",""
"","1276","Should not login with invalid user name","","Sat Aug 16 17:18:31 UTC 2025","passed","Sat Aug 16 17:18:33 UTC 2025","","Login with invalid data","",""
"","585","Sorting products by price from high to low","","Sat Aug 16 17:18:46 UTC 2025","passed","Sat Aug 16 17:18:47 UTC 2025","","Products","",""
"","1556","Should not login with invalid user name","","Sat Aug 16 17:18:46 UTC 2025","passed","Sat Aug 16 17:18:48 UTC 2025","","Login with invalid data","",""
"","744","Sorting products by price from low to high","","Sat Aug 16 17:18:45 UTC 2025","passed","Sat Aug 16 17:18:46 UTC 2025","","Products","",""
"","2989","Should login with valid credentials","","Sat Aug 16 17:18:29 UTC 2025","passed","Sat Aug 16 17:18:32 UTC 2025","","Login","",""
"","424","Sorting products by Name (A to Z)","","Sat Aug 16 17:18:47 UTC 2025","passed","Sat Aug 16 17:18:47 UTC 2025","","Products","",""
"","950","Valid checkout","","Sat Aug 16 17:19:07 UTC 2025","failed","Sat Aug 16 17:19:08 UTC 2025","","Checkout","",""
"","3459","Valid checkout","","Sat Aug 16 17:18:46 UTC 2025","passed","Sat Aug 16 17:18:50 UTC 2025","","Checkout","",""
"","2414","Add any product to cart, logout, login and check that product is still in the cart","","Sat Aug 16 17:18:31 UTC 2025","passed","Sat Aug 16 17:18:34 UTC 2025","","Cart","",""
"","11061","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Sat Aug 16 17:18:46 UTC 2025","passed","Sat Aug 16 17:18:57 UTC 2025","","Footer","",""
"","435","Sorting products by price from high to low","","Sat Aug 16 17:19:06 UTC 2025","passed","Sat Aug 16 17:19:06 UTC 2025","","Products","",""
"","2412","Should not login with invalid password","","Sat Aug 16 17:18:29 UTC 2025","passed","Sat Aug 16 17:18:31 UTC 2025","","Login with invalid data","",""
