"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7335","Should not login with invalid password","","Tue Aug 19 09:44:01 UTC 2025","passed","Tue Aug 19 09:44:08 UTC 2025","","Login with invalid data","",""
"","1458","Sorting products by Name (Z to A)","","Tue Aug 19 09:43:52 UTC 2025","passed","Tue Aug 19 09:43:53 UTC 2025","","Products","",""
"","3660","Valid checkout","","Tue Aug 19 09:43:49 UTC 2025","passed","Tue Aug 19 09:43:53 UTC 2025","","Checkout","",""
"","7535","Sorting products by price from low to high","","Tue Aug 19 09:44:03 UTC 2025","passed","Tue Aug 19 09:44:11 UTC 2025","","Products","",""
"","2140","Sorting products by price from high to low","","Tue Aug 19 09:44:11 UTC 2025","passed","Tue Aug 19 09:44:13 UTC 2025","","Products","",""
"","8887","Should login with valid credentials","","Tue Aug 19 09:44:01 UTC 2025","failed","Tue Aug 19 09:44:10 UTC 2025","","Login","",""
"","2070","Should not login with invalid password","","Tue Aug 19 09:43:38 UTC 2025","passed","Tue Aug 19 09:43:40 UTC 2025","","Login with invalid data","",""
"","1579","Add any product to cart, logout, login and check that product is still in the cart","","Tue Aug 19 09:43:39 UTC 2025","passed","Tue Aug 19 09:43:41 UTC 2025","","Cart","",""
"","292","Checkout without products","","Tue Aug 19 09:44:19 UTC 2025","passed","Tue Aug 19 09:44:19 UTC 2025","","Checkout","",""
"","1286","Sorting products by Name (Z to A)","","Tue Aug 19 09:44:14 UTC 2025","passed","Tue Aug 19 09:44:15 UTC 2025","","Products","",""
"","700","Login, click on burger-button and logout","","Tue Aug 19 09:44:08 UTC 2025","passed","Tue Aug 19 09:44:09 UTC 2025","","Logout","",""
"","2419","Add any product to cart, logout, login and check that product is still in the cart","","Tue Aug 19 09:44:08 UTC 2025","passed","Tue Aug 19 09:44:11 UTC 2025","","Cart","",""
"","1148","Sorting products by Name (A to Z)","","Tue Aug 19 09:44:13 UTC 2025","passed","Tue Aug 19 09:44:14 UTC 2025","","Products","",""
"","368","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Tue Aug 19 09:44:18 UTC 2025","failed","Tue Aug 19 09:44:18 UTC 2025","","Footer","",""
"","1495","Sorting products by Name (A to Z)","","Tue Aug 19 09:43:50 UTC 2025","passed","Tue Aug 19 09:43:52 UTC 2025","","Products","",""
"","12025","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Tue Aug 19 09:43:48 UTC 2025","passed","Tue Aug 19 09:44:00 UTC 2025","","Footer","",""
"","1865","Sorting products by price from high to low","","Tue Aug 19 09:43:48 UTC 2025","passed","Tue Aug 19 09:43:50 UTC 2025","","Products","",""
"","3477","Sorting products by price from low to high","","Tue Aug 19 09:43:45 UTC 2025","passed","Tue Aug 19 09:43:48 UTC 2025","","Products","",""
"","488","Checkout without products","","Tue Aug 19 09:43:50 UTC 2025","passed","Tue Aug 19 09:43:50 UTC 2025","","Checkout","",""
"","950","Valid checkout","","Tue Aug 19 09:44:19 UTC 2025","failed","Tue Aug 19 09:44:20 UTC 2025","","Checkout","",""
"","2420","Should login with valid credentials","","Tue Aug 19 09:43:38 UTC 2025","passed","Tue Aug 19 09:43:40 UTC 2025","","Login","",""
"","1602","Should not login with invalid user name","","Tue Aug 19 09:44:08 UTC 2025","passed","Tue Aug 19 09:44:10 UTC 2025","","Login with invalid data","",""
"","436","Login, click on burger-button and logout","","Tue Aug 19 09:43:39 UTC 2025","passed","Tue Aug 19 09:43:40 UTC 2025","","Logout","",""
"","746","Should not login with invalid user name","","Tue Aug 19 09:43:40 UTC 2025","passed","Tue Aug 19 09:43:40 UTC 2025","","Login with invalid data","",""
