"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","580","Login, click on burger-button and logout","","Sat Aug 16 20:34:06 UTC 2025","passed","Sat Aug 16 20:34:07 UTC 2025","","Logout","",""
"","7783","Should login with valid credentials","","Sat Aug 16 20:33:58 UTC 2025","failed","Sat Aug 16 20:34:06 UTC 2025","","Login","",""
"","384","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Sat Aug 16 20:34:31 UTC 2025","failed","Sat Aug 16 20:34:31 UTC 2025","","Footer","",""
"","1676","Add any product to cart, logout, login and check that product is still in the cart","","Sat Aug 16 20:34:27 UTC 2025","passed","Sat Aug 16 20:34:29 UTC 2025","","Cart","",""
"","5175","Add any product to cart, logout, login and check that product is still in the cart","","Sat Aug 16 20:33:57 UTC 2025","passed","Sat Aug 16 20:34:02 UTC 2025","","Cart","",""
"","702","Sorting products by price from low to high","","Sat Aug 16 20:34:12 UTC 2025","passed","Sat Aug 16 20:34:12 UTC 2025","","Products","",""
"","424","Sorting products by Name (Z to A)","","Sat Aug 16 20:34:30 UTC 2025","passed","Sat Aug 16 20:34:31 UTC 2025","","Products","",""
"","462","Checkout without products","","Sat Aug 16 20:34:14 UTC 2025","passed","Sat Aug 16 20:34:14 UTC 2025","","Checkout","",""
"","5431","Should login with valid credentials","","Sat Aug 16 20:33:53 UTC 2025","passed","Sat Aug 16 20:33:59 UTC 2025","","Login","",""
"","1641","Valid checkout","","Sat Aug 16 20:34:31 UTC 2025","failed","Sat Aug 16 20:34:33 UTC 2025","","Checkout","",""
"","306","Sorting products by Name (A to Z)","","Sat Aug 16 20:34:13 UTC 2025","passed","Sat Aug 16 20:34:13 UTC 2025","","Products","",""
"","162","Checkout without products","","Sat Aug 16 20:34:33 UTC 2025","passed","Sat Aug 16 20:34:33 UTC 2025","","Checkout","",""
"","630","Sorting products by price from low to high","","Sat Aug 16 20:34:29 UTC 2025","passed","Sat Aug 16 20:34:30 UTC 2025","","Products","",""
"","381","Sorting products by price from high to low","","Sat Aug 16 20:34:30 UTC 2025","passed","Sat Aug 16 20:34:30 UTC 2025","","Products","",""
"","4376","Should not login with invalid password","","Sat Aug 16 20:33:53 UTC 2025","passed","Sat Aug 16 20:33:58 UTC 2025","","Login with invalid data","",""
"","376","Sorting products by Name (A to Z)","","Sat Aug 16 20:34:30 UTC 2025","passed","Sat Aug 16 20:34:30 UTC 2025","","Products","",""
"","482","Sorting products by price from high to low","","Sat Aug 16 20:34:12 UTC 2025","passed","Sat Aug 16 20:34:13 UTC 2025","","Products","",""
"","1256","Login, click on burger-button and logout","","Sat Aug 16 20:33:57 UTC 2025","passed","Sat Aug 16 20:33:58 UTC 2025","","Logout","",""
"","15454","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Sat Aug 16 20:34:12 UTC 2025","passed","Sat Aug 16 20:34:27 UTC 2025","","Footer","",""
"","3537","Should not login with invalid user name","","Sat Aug 16 20:33:58 UTC 2025","passed","Sat Aug 16 20:34:01 UTC 2025","","Login with invalid data","",""
"","1562","Should not login with invalid user name","","Sat Aug 16 20:34:06 UTC 2025","passed","Sat Aug 16 20:34:08 UTC 2025","","Login with invalid data","",""
"","363","Sorting products by Name (Z to A)","","Sat Aug 16 20:34:13 UTC 2025","passed","Sat Aug 16 20:34:14 UTC 2025","","Products","",""
"","7177","Should not login with invalid password","","Sat Aug 16 20:33:59 UTC 2025","passed","Sat Aug 16 20:34:06 UTC 2025","","Login with invalid data","",""
"","3430","Valid checkout","","Sat Aug 16 20:34:14 UTC 2025","passed","Sat Aug 16 20:34:17 UTC 2025","","Checkout","",""
