"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","537","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Fri Aug 15 09:49:21 UTC 2025","failed","Fri Aug 15 09:49:22 UTC 2025","","Footer","",""
"","2084","Add any product to cart, logout, login and check that product is still in the cart","","Fri Aug 15 09:49:19 UTC 2025","passed","Fri Aug 15 09:49:21 UTC 2025","","Cart","",""
"","2265","Should not login with invalid password","","Fri Aug 15 09:48:45 UTC 2025","passed","Fri Aug 15 09:48:48 UTC 2025","","Login with invalid data","",""
"","435","Sorting products by Name (Z to A)","","Fri Aug 15 09:49:22 UTC 2025","passed","Fri Aug 15 09:49:23 UTC 2025","","Products","",""
"","2520","Add any product to cart, logout, login and check that product is still in the cart","","Fri Aug 15 09:48:48 UTC 2025","passed","Fri Aug 15 09:48:50 UTC 2025","","Cart","",""
"","8781","Should login with valid credentials","","Fri Aug 15 09:48:56 UTC 2025","failed","Fri Aug 15 09:49:04 UTC 2025","","Login","",""
"","13160","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Fri Aug 15 09:49:00 UTC 2025","passed","Fri Aug 15 09:49:14 UTC 2025","","Footer","",""
"","643","Sorting products by price from high to low","","Fri Aug 15 09:49:02 UTC 2025","passed","Fri Aug 15 09:49:02 UTC 2025","","Products","",""
"","656","Sorting products by Name (A to Z)","","Fri Aug 15 09:49:02 UTC 2025","passed","Fri Aug 15 09:49:03 UTC 2025","","Products","",""
"","412","Checkout without products","","Fri Aug 15 09:49:05 UTC 2025","passed","Fri Aug 15 09:49:05 UTC 2025","","Checkout","",""
"","352","Sorting products by Name (A to Z)","","Fri Aug 15 09:49:22 UTC 2025","passed","Fri Aug 15 09:49:22 UTC 2025","","Products","",""
"","12275","Valid checkout","","Fri Aug 15 09:49:02 UTC 2025","failed","Fri Aug 15 09:49:15 UTC 2025","","Checkout","",""
"","2554","Should login with valid credentials","","Fri Aug 15 09:48:45 UTC 2025","passed","Fri Aug 15 09:48:48 UTC 2025","","Login","",""
"","1381","Should not login with invalid user name","","Fri Aug 15 09:49:04 UTC 2025","passed","Fri Aug 15 09:49:05 UTC 2025","","Login with invalid data","",""
"","11008","Valid checkout","","Fri Aug 15 09:49:24 UTC 2025","failed","Fri Aug 15 09:49:35 UTC 2025","","Checkout","",""
"","1006","Sorting products by price from low to high","","Fri Aug 15 09:49:01 UTC 2025","passed","Fri Aug 15 09:49:02 UTC 2025","","Products","",""
"","8171","Should not login with invalid password","","Fri Aug 15 09:48:56 UTC 2025","passed","Fri Aug 15 09:49:04 UTC 2025","","Login with invalid data","",""
"","668","Sorting products by price from low to high","","Fri Aug 15 09:49:21 UTC 2025","passed","Fri Aug 15 09:49:22 UTC 2025","","Products","",""
"","155","Checkout without products","","Fri Aug 15 09:49:25 UTC 2025","passed","Fri Aug 15 09:49:25 UTC 2025","","Checkout","",""
"","1421","Should not login with invalid user name","","Fri Aug 15 09:48:48 UTC 2025","passed","Fri Aug 15 09:48:49 UTC 2025","","Login with invalid data","",""
"","609","Login, click on burger-button and logout","","Fri Aug 15 09:49:03 UTC 2025","passed","Fri Aug 15 09:49:03 UTC 2025","","Logout","",""
"","415","Sorting products by price from high to low","","Fri Aug 15 09:49:22 UTC 2025","passed","Fri Aug 15 09:49:22 UTC 2025","","Products","",""
"","434","Sorting products by Name (Z to A)","","Fri Aug 15 09:49:03 UTC 2025","passed","Fri Aug 15 09:49:04 UTC 2025","","Products","",""
"","488","Login, click on burger-button and logout","","Fri Aug 15 09:48:48 UTC 2025","passed","Fri Aug 15 09:48:48 UTC 2025","","Logout","",""
