"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","422","Sorting products by Name (Z to A)","","Fri Aug 15 10:05:44 UTC 2025","passed","Fri Aug 15 10:05:45 UTC 2025","","Products","",""
"","526","Login, click on burger-button and logout","","Fri Aug 15 10:05:54 UTC 2025","passed","Fri Aug 15 10:05:55 UTC 2025","","Logout","",""
"","5031","Should not login with invalid password","","Fri Aug 15 10:05:49 UTC 2025","passed","Fri Aug 15 10:05:54 UTC 2025","","Login with invalid data","",""
"","12201","Valid checkout","","Fri Aug 15 10:05:44 UTC 2025","failed","Fri Aug 15 10:05:56 UTC 2025","","Checkout","",""
"","1375","Should not login with invalid user name","","Fri Aug 15 10:05:54 UTC 2025","passed","Fri Aug 15 10:05:55 UTC 2025","","Login with invalid data","",""
"","2720","Should login with valid credentials","","Fri Aug 15 10:05:31 UTC 2025","passed","Fri Aug 15 10:05:33 UTC 2025","","Login","",""
"","363","Sorting products by price from high to low","","Fri Aug 15 10:05:43 UTC 2025","passed","Fri Aug 15 10:05:44 UTC 2025","","Products","",""
"","813","Sorting products by price from low to high","","Fri Aug 15 10:05:43 UTC 2025","passed","Fri Aug 15 10:05:43 UTC 2025","","Products","",""
"","2367","Should not login with invalid password","","Fri Aug 15 10:05:31 UTC 2025","passed","Fri Aug 15 10:05:33 UTC 2025","","Login with invalid data","",""
"","384","Checkout without products","","Fri Aug 15 10:05:45 UTC 2025","passed","Fri Aug 15 10:05:46 UTC 2025","","Checkout","",""
"","11561","Valid checkout","","Fri Aug 15 10:06:08 UTC 2025","failed","Fri Aug 15 10:06:19 UTC 2025","","Checkout","",""
"","15278","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Fri Aug 15 10:05:42 UTC 2025","passed","Fri Aug 15 10:05:57 UTC 2025","","Footer","",""
"","187","Sorting products by price from high to low","","Fri Aug 15 10:06:10 UTC 2025","passed","Fri Aug 15 10:06:11 UTC 2025","","Products","",""
"","151","Sorting products by Name (A to Z)","","Fri Aug 15 10:06:11 UTC 2025","passed","Fri Aug 15 10:06:11 UTC 2025","","Products","",""
"","419","Sorting products by Name (A to Z)","","Fri Aug 15 10:05:44 UTC 2025","passed","Fri Aug 15 10:05:44 UTC 2025","","Products","",""
"","438","Login, click on burger-button and logout","","Fri Aug 15 10:05:33 UTC 2025","passed","Fri Aug 15 10:05:33 UTC 2025","","Logout","",""
"","1241","Add any product to cart, logout, login and check that product is still in the cart","","Fri Aug 15 10:06:01 UTC 2025","passed","Fri Aug 15 10:06:02 UTC 2025","","Cart","",""
"","1914","Add any product to cart, logout, login and check that product is still in the cart","","Fri Aug 15 10:05:33 UTC 2025","passed","Fri Aug 15 10:05:35 UTC 2025","","Cart","",""
"","194","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Fri Aug 15 10:06:10 UTC 2025","failed","Fri Aug 15 10:06:11 UTC 2025","","Footer","",""
"","328","Checkout without products","","Fri Aug 15 10:06:09 UTC 2025","passed","Fri Aug 15 10:06:09 UTC 2025","","Checkout","",""
"","415","Sorting products by price from low to high","","Fri Aug 15 10:06:10 UTC 2025","passed","Fri Aug 15 10:06:10 UTC 2025","","Products","",""
"","161","Sorting products by Name (Z to A)","","Fri Aug 15 10:06:11 UTC 2025","passed","Fri Aug 15 10:06:11 UTC 2025","","Products","",""
"","977","Should not login with invalid user name","","Fri Aug 15 10:05:33 UTC 2025","passed","Fri Aug 15 10:05:34 UTC 2025","","Login with invalid data","",""
"","5918","Should login with valid credentials","","Fri Aug 15 10:05:49 UTC 2025","failed","Fri Aug 15 10:05:55 UTC 2025","","Login","",""
