"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","499","Sorting products by price from high to low","","Sat Aug 16 20:19:18 UTC 2025","passed","Sat Aug 16 20:19:19 UTC 2025","","Products","",""
"","5717","Should not login with invalid password","","Sat Aug 16 20:19:02 UTC 2025","passed","Sat Aug 16 20:19:08 UTC 2025","","Login with invalid data","",""
"","3667","Valid checkout","","Sat Aug 16 20:19:19 UTC 2025","passed","Sat Aug 16 20:19:23 UTC 2025","","Checkout","",""
"","1430","Login, click on burger-button and logout","","Sat Aug 16 20:19:08 UTC 2025","passed","Sat Aug 16 20:19:09 UTC 2025","","Logout","",""
"","684","Sorting products by price from low to high","","Sat Aug 16 20:19:31 UTC 2025","passed","Sat Aug 16 20:19:32 UTC 2025","","Products","",""
"","4638","Should not login with invalid password","","Sat Aug 16 20:19:03 UTC 2025","passed","Sat Aug 16 20:19:07 UTC 2025","","Login with invalid data","",""
"","187","Checkout without products","","Sat Aug 16 20:19:36 UTC 2025","passed","Sat Aug 16 20:19:36 UTC 2025","","Checkout","",""
"","491","Sorting products by Name (A to Z)","","Sat Aug 16 20:19:19 UTC 2025","passed","Sat Aug 16 20:19:19 UTC 2025","","Products","",""
"","1552","Valid checkout","","Sat Aug 16 20:19:35 UTC 2025","failed","Sat Aug 16 20:19:36 UTC 2025","","Checkout","",""
"","1126","Login, click on burger-button and logout","","Sat Aug 16 20:19:07 UTC 2025","passed","Sat Aug 16 20:19:08 UTC 2025","","Logout","",""
"","576","Sorting products by price from high to low","","Sat Aug 16 20:19:32 UTC 2025","passed","Sat Aug 16 20:19:32 UTC 2025","","Products","",""
"","3651","Add any product to cart, logout, login and check that product is still in the cart","","Sat Aug 16 20:19:07 UTC 2025","passed","Sat Aug 16 20:19:11 UTC 2025","","Cart","",""
"","482","Checkout without products","","Sat Aug 16 20:19:20 UTC 2025","passed","Sat Aug 16 20:19:21 UTC 2025","","Checkout","",""
"","455","Sorting products by Name (Z to A)","","Sat Aug 16 20:19:19 UTC 2025","passed","Sat Aug 16 20:19:20 UTC 2025","","Products","",""
"","453","Sorting products by Name (Z to A)","","Sat Aug 16 20:19:33 UTC 2025","passed","Sat Aug 16 20:19:33 UTC 2025","","Products","",""
"","464","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Sat Aug 16 20:19:33 UTC 2025","failed","Sat Aug 16 20:19:34 UTC 2025","","Footer","",""
"","2416","Add any product to cart, logout, login and check that product is still in the cart","","Sat Aug 16 20:19:29 UTC 2025","passed","Sat Aug 16 20:19:31 UTC 2025","","Cart","",""
"","1801","Should not login with invalid user name","","Sat Aug 16 20:19:08 UTC 2025","passed","Sat Aug 16 20:19:10 UTC 2025","","Login with invalid data","",""
"","17765","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Sat Aug 16 20:19:18 UTC 2025","passed","Sat Aug 16 20:19:35 UTC 2025","","Footer","",""
"","2227","Should not login with invalid user name","","Sat Aug 16 20:19:07 UTC 2025","passed","Sat Aug 16 20:19:10 UTC 2025","","Login with invalid data","",""
"","6722","Should login with valid credentials","","Sat Aug 16 20:19:02 UTC 2025","failed","Sat Aug 16 20:19:09 UTC 2025","","Login","",""
"","521","Sorting products by Name (A to Z)","","Sat Aug 16 20:19:32 UTC 2025","passed","Sat Aug 16 20:19:33 UTC 2025","","Products","",""
"","833","Sorting products by price from low to high","","Sat Aug 16 20:19:17 UTC 2025","passed","Sat Aug 16 20:19:18 UTC 2025","","Products","",""
"","5547","Should login with valid credentials","","Sat Aug 16 20:19:03 UTC 2025","passed","Sat Aug 16 20:19:08 UTC 2025","","Login","",""
