"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Sorting products by price from high to low","","Fri Aug 15 14:30:26 UTC 2025","passed","Fri Aug 15 14:30:27 UTC 2025","","Products","",""
"","563","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Fri Aug 15 14:30:25 UTC 2025","failed","Fri Aug 15 14:30:26 UTC 2025","","Footer","",""
"","595","Sorting products by price from high to low","","Fri Aug 15 14:30:09 UTC 2025","passed","Fri Aug 15 14:30:10 UTC 2025","","Products","",""
"","352","Sorting products by Name (A to Z)","","Fri Aug 15 14:30:27 UTC 2025","passed","Fri Aug 15 14:30:27 UTC 2025","","Products","",""
"","560","Login, click on burger-button and logout","","Fri Aug 15 14:30:04 UTC 2025","passed","Fri Aug 15 14:30:04 UTC 2025","","Logout","",""
"","6650","Should login with valid credentials","","Fri Aug 15 14:29:58 UTC 2025","failed","Fri Aug 15 14:30:04 UTC 2025","","Login","",""
"","219","Checkout without products","","Fri Aug 15 14:30:28 UTC 2025","passed","Fri Aug 15 14:30:28 UTC 2025","","Checkout","",""
"","290","Sorting products by Name (Z to A)","","Fri Aug 15 14:30:10 UTC 2025","passed","Fri Aug 15 14:30:10 UTC 2025","","Products","",""
"","1674","Should not login with invalid user name","","Fri Aug 15 14:29:55 UTC 2025","broken","Fri Aug 15 14:29:57 UTC 2025","","Login with invalid data","",""
"","564","Sorting products by price from low to high","","Fri Aug 15 14:30:26 UTC 2025","passed","Fri Aug 15 14:30:26 UTC 2025","","Products","",""
"","1102","Valid checkout","","Fri Aug 15 14:30:28 UTC 2025","failed","Fri Aug 15 14:30:29 UTC 2025","","Checkout","",""
"","4244","Add any product to cart, logout, login and check that product is still in the cart","","Fri Aug 15 14:29:56 UTC 2025","passed","Fri Aug 15 14:30:00 UTC 2025","","Cart","",""
"","5531","Should not login with invalid password","","Fri Aug 15 14:29:58 UTC 2025","broken","Fri Aug 15 14:30:03 UTC 2025","","Login with invalid data","",""
"","531","Sorting products by price from low to high","","Fri Aug 15 14:30:08 UTC 2025","passed","Fri Aug 15 14:30:09 UTC 2025","","Products","",""
"","481","Checkout without products","","Fri Aug 15 14:30:10 UTC 2025","passed","Fri Aug 15 14:30:10 UTC 2025","","Checkout","",""
"","13240","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Fri Aug 15 14:30:08 UTC 2025","passed","Fri Aug 15 14:30:21 UTC 2025","","Footer","",""
"","5930","Should login with valid credentials","","Fri Aug 15 14:29:51 UTC 2025","passed","Fri Aug 15 14:29:57 UTC 2025","","Login","",""
"","420","Sorting products by Name (A to Z)","","Fri Aug 15 14:30:10 UTC 2025","passed","Fri Aug 15 14:30:10 UTC 2025","","Products","",""
"","4484","Should not login with invalid password","","Fri Aug 15 14:29:51 UTC 2025","broken","Fri Aug 15 14:29:55 UTC 2025","","Login with invalid data","",""
"","3565","Valid checkout","","Fri Aug 15 14:30:08 UTC 2025","passed","Fri Aug 15 14:30:12 UTC 2025","","Checkout","",""
"","952","Login, click on burger-button and logout","","Fri Aug 15 14:29:56 UTC 2025","passed","Fri Aug 15 14:29:57 UTC 2025","","Logout","",""
"","1450","Should not login with invalid user name","","Fri Aug 15 14:30:03 UTC 2025","broken","Fri Aug 15 14:30:05 UTC 2025","","Login with invalid data","",""
"","320","Sorting products by Name (Z to A)","","Fri Aug 15 14:30:27 UTC 2025","passed","Fri Aug 15 14:30:27 UTC 2025","","Products","",""
"","1999","Add any product to cart, logout, login and check that product is still in the cart","","Fri Aug 15 14:30:23 UTC 2025","passed","Fri Aug 15 14:30:25 UTC 2025","","Cart","",""
