"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Logout","4","0","","0"
"0","","0","Products","12","0","","0"
"0","","2","Login with invalid data","6","0","","0"
"0","","0","Login","4","0","","0"
"0","","0","Cart","3","0","","0"
"0","","1","Footer","2","0","","0"
"0","","3","Checkout","3","0","","0"
