"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1646","Should not login with invalid user name","","Sat Aug 16 16:29:39 UTC 2025","broken","Sat Aug 16 16:29:40 UTC 2025","","Login with invalid data","",""
"","6133","Should not login with invalid password","","Sat Aug 16 16:29:32 UTC 2025","broken","Sat Aug 16 16:29:39 UTC 2025","","Login with invalid data","",""
"","638","Should not login with invalid user name","","Sat Aug 16 16:29:18 UTC 2025","broken","Sat Aug 16 16:29:19 UTC 2025","","Login with invalid data","",""
"","253","Sorting products by Name (Z to A)","","Sat Aug 16 16:29:29 UTC 2025","passed","Sat Aug 16 16:29:30 UTC 2025","","Products","",""
"","227","Sorting products by Name (A to Z)","","Sat Aug 16 16:29:48 UTC 2025","passed","Sat Aug 16 16:29:48 UTC 2025","","Products","",""
"","6917","Should login with valid credentials","","Sat Aug 16 16:29:32 UTC 2025","failed","Sat Aug 16 16:29:39 UTC 2025","","Login","",""
"","2853","Should login with valid credentials","","Sat Aug 16 16:29:16 UTC 2025","passed","Sat Aug 16 16:29:19 UTC 2025","","Login","",""
"","1093","Valid checkout","","Sat Aug 16 16:29:52 UTC 2025","failed","Sat Aug 16 16:29:53 UTC 2025","","Checkout","",""
"","698","Sorting products by price from low to high","","Sat Aug 16 16:29:28 UTC 2025","passed","Sat Aug 16 16:29:28 UTC 2025","","Products","",""
"","187","Sorting products by Name (Z to A)","","Sat Aug 16 16:29:48 UTC 2025","passed","Sat Aug 16 16:29:48 UTC 2025","","Products","",""
"","3060","Valid checkout","","Sat Aug 16 16:29:28 UTC 2025","passed","Sat Aug 16 16:29:31 UTC 2025","","Checkout","",""
"","452","Sorting products by price from high to low","","Sat Aug 16 16:29:28 UTC 2025","passed","Sat Aug 16 16:29:29 UTC 2025","","Products","",""
"","1824","Add any product to cart, logout, login and check that product is still in the cart","","Sat Aug 16 16:29:38 UTC 2025","passed","Sat Aug 16 16:29:40 UTC 2025","","Cart","",""
"","349","Sorting products by price from high to low","","Sat Aug 16 16:29:47 UTC 2025","passed","Sat Aug 16 16:29:48 UTC 2025","","Products","",""
"","488","Checkout without products","","Sat Aug 16 16:29:30 UTC 2025","passed","Sat Aug 16 16:29:30 UTC 2025","","Checkout","",""
"","2392","Should not login with invalid password","","Sat Aug 16 16:29:16 UTC 2025","broken","Sat Aug 16 16:29:18 UTC 2025","","Login with invalid data","",""
"","16550","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Sat Aug 16 16:29:28 UTC 2025","passed","Sat Aug 16 16:29:44 UTC 2025","","Footer","",""
"","1458","Add any product to cart, logout, login and check that product is still in the cart","","Sat Aug 16 16:29:18 UTC 2025","passed","Sat Aug 16 16:29:20 UTC 2025","","Cart","",""
"","165","Checkout without products","","Sat Aug 16 16:29:52 UTC 2025","passed","Sat Aug 16 16:29:53 UTC 2025","","Checkout","",""
"","444","Footer links. The Twitter, Facebook and Linkedin links in the footer should open in a new tab when clicked.","","Sat Aug 16 16:29:47 UTC 2025","failed","Sat Aug 16 16:29:48 UTC 2025","","Footer","",""
"","421","Login, click on burger-button and logout","","Sat Aug 16 16:29:19 UTC 2025","passed","Sat Aug 16 16:29:19 UTC 2025","","Logout","",""
"","393","Sorting products by Name (A to Z)","","Sat Aug 16 16:29:29 UTC 2025","passed","Sat Aug 16 16:29:29 UTC 2025","","Products","",""
"","584","Sorting products by price from low to high","","Sat Aug 16 16:29:47 UTC 2025","passed","Sat Aug 16 16:29:47 UTC 2025","","Products","",""
